Mon Jun  9 00:35:31 2025    hub_simulation.prof

         184273617 function calls (184264004 primitive calls) in 199.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   123904    0.131    0.000    0.131    0.000 {method 'expandtabs' of 'str' objects}
     1936    0.093    0.000    0.120    0.000 /home/chachi/uni/files/year2/quartile4/4CBLW00_Urban_Mobility_Startups_For_Livable_Cities/simulation/hub.py:45(choose_delivery_window)
    11616    0.082    0.000    0.082    0.000 {method 'replace' of 'str' objects}
    11620    0.054    0.000    0.067    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:3016(__init__)
     3922    0.009    0.000    0.066    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2589(all)
     1961    0.023    0.000    0.063    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:911(_argcheck_rvs)
   106486    0.061    0.000    0.061    0.000 {method 'join' of 'str' objects}
     5808    0.024    0.000    0.060    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2097(_signature_bound_method)
      2/1    0.000    0.000    0.058    0.058 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:787(func)
     3922    0.013    0.000    0.057    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
     9693    0.029    0.000    0.053    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2728(__init__)
   344684    0.048    0.000    0.048    0.000 {built-in method builtins.len}
     7744    0.038    0.000    0.046    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2435(__init__)
   207152    0.043    0.000    0.043    0.000 {method 'lstrip' of 'str' objects}
     3922    0.014    0.000    0.040    0.000 {method 'all' of 'numpy.generic' objects}
     1936    0.011    0.000    0.039    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/uuid.py:661(uuid1)
     1961    0.012    0.000    0.034    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
     5810    0.012    0.000    0.031    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:3084(replace)
     3922    0.004    0.000    0.026    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/_core/_methods.py:67(_all)
     5810    0.016    0.000    0.026    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:176(get_annotations)
     3884    0.010    0.000    0.023    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/random.py:345(choice)
     1948    0.023    0.000    0.023    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_continuous_distns.py:10875(_rvs)
     3922    0.022    0.000    0.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    11629    0.014    0.000    0.021    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/enum.py:695(__call__)
     5810    0.013    0.000    0.019    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:764(unwrap)
    79439    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
     1936    0.014    0.000    0.018    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/uuid.py:142(__init__)
     1855    0.013    0.000    0.017    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/algorithms/shortest_paths/weighted.py:41(_weight_function)
    46470    0.014    0.000    0.014    0.000 {method 'values' of 'mappingproxy' objects}
     1961    0.012    0.000    0.012    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
     3884    0.008    0.000    0.011    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
    15499    0.008    0.000    0.011    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:3063(<genexpr>)
     3922    0.010    0.000    0.010    0.000 {built-in method numpy.array}
     1936    0.009    0.000    0.009    0.000 {built-in method numpy.arange}
    27029    0.009    0.000    0.009    0.000 {built-in method builtins.callable}
    11620    0.007    0.000    0.009    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:386(isfunction)
     1856    0.008    0.000    0.008    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/classes/graph.py:462(__contains__)
    23242    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
    21352    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    11629    0.007    0.000    0.007    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/enum.py:1154(__new__)
     5808    0.006    0.000    0.007    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/_lib/_util.py:630(<genexpr>)
